GI;ID;Gene.Symbol;BH.Q;ADJ.P;PER;LAG;AMP;ZT0_zsocred_iBAQ;ZT3_zscore_iBAQ;ZT6_zsocred_iBAQ;ZT9_zscore_iBAQ;ZT12_zsocred_iBAQ;ZT15_zscore_iBAQ;ZT18_zsocred_iBAQ;ZT21_zscore_iBAQ;ZT24_zsocred_iBAQ;ZT27_zscore_iBAQ;ZT30_zsocred_iBAQ;ZT33_zscore_iBAQ;ZT36_zsocred_iBAQ;ZT39_zscore_iBAQ;ZT42_zsocred_iBAQ;ZT45_zscore_iBAQ
gi257196209;GeneID:54364;Rpp30;1;0.318262216;25.8;15.3;0.989604476;-0.692992123;-0.692992123;-0.692992123;-0.692992123;0.995070828;1.763369841;-0.692992123;0.706519948;-0.68881723;-0.68881723;-0.68881723;-0.68881723;0.687603917;1.799998046;-0.68881723;0.956484188
gi172072663;GeneID:208366;Rpp40;1;0.866497296;19.8;9.9;0.231753511;-0.51742787;-0.51742787;1.016353769;-0.51742787;2.08821345;-0.51742787;-0.51742787;-0.51742787;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391
gi34328077;GeneID:70470;Rprd1B;0.898267811;0.049815442;22.8;2.4;1.045767351;1.640163911;0.142884788;0.816745997;0.351692042;-0.9106242;-0.682717638;-1.479405623;0.121260722;1.840983404;0.917635258;-0.153714824;-1.284188745;-0.734817442;0.033058895;-0.735713827;0.116757281
gi124486841;GeneID:75137;Rprd2;1;0.070160199;19.8;0;0.678366711;1.384647249;-0.772108271;-0.772108271;-0.698459188;0.564378839;-0.561372867;-0.668711732;1.523734242;-0.021472394;-1.121521077;-1.121521077;-1.103586982;0.465323776;1.337199588;0.648868954;0.916709213
gi13399310;GeneID:67097;Rps10;1;1;25.8;18.3;0.561325191;-0.266762144;-0.001393439;0.150018321;-1.392485105;1.191741983;-0.577651582;1.633909409;-0.737377442;-0.616804285;1.697060257;-0.245235059;-1.378844169;0.033833203;-0.730770654;1.10683358;0.133927126
gi21426889;GeneID:27207;Rps11;1;1;25.8;24.3;0.573373849;-1.935348136;0.954135162;0.175867796;-0.450531373;0.166073927;-0.677404855;0.70728491;1.059922569;-0.411314445;2.023492883;-0.473376894;-0.686606893;0.77960637;0.102937274;-0.151793287;-1.182945009
gi40254577;GeneID:20042;Rps12;1;1;19.8;5.4;0.582808436;-1.638472075;-0.024376527;1.626339987;0.749924188;-0.848592121;-0.414157101;0.094488328;0.454845321;0.450910416;0.049860326;-0.524741937;-0.553744082;1.110391122;-0.805365116;1.601514592;-1.328825321
gi31981100;GeneID:20044;Rps14;1;0.415393267;22.8;9.9;0.705172877;-0.663181982;-0.522177203;0.398549969;1.301546687;-0.621328059;1.676088668;-0.722818094;-0.846679985;1.004711315;0.55942206;-0.246274368;0.148256;1.191225595;0.191631488;-1.223352761;-1.625619329
gi6677799;GeneID:20054;Rps15;1;1;25.8;18.3;1.022390777;-1.500499848;-0.456274303;-0.285156068;-0.548126032;-0.293626198;0.333703353;1.075163717;1.674815377;-0.110132204;1.266412154;-0.442131622;0.044128899;0.370587635;1.379532334;-1.26343224;-1.244964955
gi24762230;GeneID:267019;Rps15A;1;1;25.8;8.4;0.628706955;-1.679316733;0.51533198;0.433071897;-0.549502226;1.261760206;-1.034302083;0.203488153;0.849468806;-0.149962447;1.526589681;-0.831842698;-0.207664853;0.976591412;-0.181333688;0.502501208;-1.634878616
gi158966704;GeneID:20055;Rps16;1;1;25.8;18.3;0.577019492;-1.08359014;-0.885793974;0.833406012;-0.128167678;0.733687765;-1.012987707;1.659037555;-0.115591833;0.345407626;-0.629309869;-0.285012658;-1.124053799;2.175561368;-0.546933433;0.262018365;-0.197677599
gi6677801;GeneID:20068;Rps17;1;1;19.8;5.4;0.56786367;-1.433475827;0.06987421;-0.146222507;0.796851394;-0.446886918;-0.876543412;0.230037048;1.806366012;0.703077743;1.033117551;-2.048520798;-0.409345471;0.949443177;-0.138537229;0.228999295;-0.318234269
gi6755368;GeneID:20084;Rps18;1;1;25.8;18.3;0.677853521;-1.12212719;-0.169424786;0.05329996;-0.799359936;1.914127793;-0.724947897;-0.086154172;0.934586228;-0.077200776;0.650558058;-0.930632442;0.049640156;1.639113546;-1.707312602;0.310469484;0.065364576
gi12963511;GeneID:20085;Rps19;0.618977929;0.016250453;22.8;0;1.180234588;1.367960297;0.637220175;-0.689403538;-0.217947879;-0.726122814;-1.641070726;0.339855182;0.929509302;0.404639355;0.973239355;-1.296040996;-1.270925274;-0.534783532;-0.33397225;1.227929627;0.829913716
gi30424711;GeneID:66538;Rps19Bp1;1;1;25.8;0;1.144976873;-0.873219144;0.746022679;1.628295878;-0.873219144;-0.873219144;0.317959742;-0.873219144;0.800598279;-0.046789458;1.90888629;-0.18442684;-0.70681794;-0.70681794;1.149601766;-0.70681794;-0.70681794
gi18087805;GeneID:16898;Rps2;1;1;22.8;0;0.002627223;1.365730858;-0.535563451;-0.535563451;-0.535563451;-0.535563451;-0.535563451;1.847649848;-0.535563451;1.427488735;-0.537421178;-0.537421178;-0.537421178;-0.537421178;-0.537421178;1.797038334;-0.537421178
